vid,japanese,reading,meaning,type,category,subcategory,level
s150,二十三日,にじゅうさんにち,the twenty-third day; twenty-three days,counter,shopping,プレゼント,35
s151,二十四日,にじゅうよっか,the twenty-fourth day; twenty-four days,counter,shopping,プレゼント,35
s152,二十五日,にじゅうごにち,the twenty-fifth day; twenty-five days,counter,shopping,プレゼント,35
s153,二十六日,にじゅうろくにち,the twenty-sixth day; twenty-six days,counter,shopping,プレゼント,35
s154,二十七日,にじゅうしちにち,the twenty-seventh day; twenty-seven days,counter,shopping,プレゼント,35
s155,二十八日,にじゅうはちにち,the twenty-eighth day; twenty-eight days,counter,shopping,プレゼント,35
s156,二十九日,にじゅうくにち,the twenty-ninth day; twenty-nine days,counter,shopping,プレゼント,35
s157,三十日,さんじゅうにち,the thirtieth day; thirty days,counter,shopping,プレゼント,35
s158,三十一日,さんじゅういちにち,the thirty-first day; thirty-one days,counter,shopping,プレゼント,35
h001,乗り物,のりもの,vehicle; means of transportation,noun,holiday,のりもの,36
h002,駅,えき,station,noun,holiday,のりもの,36
h003,電車,でんしゃ,train,noun,holiday,のりもの,36
h004,乗る,のる,to ride; to get on,verb,holiday,のりもの,36
h005,降りる,おりる,to get off; to get out,verb,holiday,のりもの,36
h006,切符,きっぷ,ticket,noun,holiday,のりもの,36
h007,次の,つぎの,next; following,determiner,holiday,のりもの,36
h008,乗り換える,のりかえる,to transfer; to change trains,verb,holiday,のりもの,36
h009,各駅,かくえき,every station; each station,noun,holiday,のりもの,36
h010,急行,きゅうこう,express train,noun,holiday,のりもの,36
h011,特急,とっきゅう,limited express train,noun,holiday,のりもの,36
h012,新幹線,しんかんせん,Shinkansen; bullet train,noun,holiday,のりもの,36
h013,地下鉄,ちかてつ,subway; metro,noun,holiday,のりもの,36
h014,～番線,～ばんせん,platform/track number,suffix,holiday,のりもの,36
h015,何番線,なんばんせん,which platform; what track number,noun,holiday,のりもの,36
h016,自動車,じどうしゃ,automobile; motor vehicle,noun,holiday,のりもの,36
h017,車,くるま,car; vehicle,noun,holiday,のりもの,36
h018,運転する,うんてんする,to drive; to operate a vehicle,verb,holiday,のりもの,36
h019,送る,おくる,to take/drive someone; to send,verb,holiday,のりもの,36
h020,駐車場,ちゅうしゃじょう,parking lot,noun,holiday,のりもの,36
h021,止める,とめる,to stop; to park,verb,holiday,のりもの,36
h022,自転車,じてんしゃ,bicycle,noun,holiday,のりもの,36
h023,バイク,ばいく,motorcycle; motorbike,noun,holiday,のりもの,36
h024,バス,ばす,bus,noun,holiday,のりもの,36
h025,タクシー,たくしー,taxi,noun,holiday,のりもの,36
h026,飛行機,ひこうき,airplane,noun,holiday,のりもの,36
h027,船,ふね,ship; boat,noun,holiday,のりもの,36
h028,乗り場,のりば,boarding area; bus/train stop,noun,holiday,のりもの,36
h029,空港,くうこう,airport,noun,holiday,のりもの,36
h030,時刻表,じこくひょう,timetable,noun,holiday,のりもの,36
h031,どのくらい,どのくらい,how long; how much,expression,holiday,どのくらい,37
h032,時間,じかん,time; hours,noun,holiday,どのくらい,37
h033,急ぐ,いそぐ,to hurry,verb,holiday,どのくらい,37
h034,どのぐらい,どのぐらい,how long; how much,expression,holiday,どのくらい,37
h035,かかる,かかる,to take (time/money); to cost,verb,holiday,どのくらい,37
h036,近い,ちかい,near; close,adjective,holiday,どのくらい,37
h037,遠い,とおい,far,adjective,holiday,どのくらい,37
h038,ずっと,ずっと,all the way; continuously; much more,adverb,holiday,どのくらい,37
h039,いつも,いつも,always; usually,adverb,holiday,どのくらい,37
h040,たいてい,たいてい,usually; generally,adverb,holiday,どのくらい,37
h041,よく,よく,often; well,adverb,holiday,どのくらい,37
h042,時々,ときどき,sometimes,adverb,holiday,どのくらい,37
h043,だけ,だけ,only; just,particle,holiday,どのくらい,37
h044,道,みち,road; way; path,noun,holiday,みち,38
h045,どうやって,どうやって,how; by what means,adverb,holiday,みち,38
h046,歩く,あるく,to walk,verb,holiday,みち,38
h047,まっすぐ,まっすぐ,straight; directly,adverb,holiday,みち,38
h048,曲がる,まがる,to turn,verb,holiday,みち,38
h049,渡る,わたる,to cross,verb,holiday,みち,38
h050,説明する,せつめいする,to explain,verb,holiday,みち,38
h051,角,かど,corner,noun,holiday,みち,38
h052,交差点,こうさてん,intersection; crossroads,noun,holiday,みち,38
h053,信号,しんごう,traffic light; signal,noun,holiday,みち,38
h054,左,ひだり,left,noun,holiday,みち,38
h055,右,みぎ,right,noun,holiday,みち,38
h056,橋,はし,bridge,noun,holiday,みち,38
h057,東,ひがし,east,noun,holiday,みち,38
h058,西,にし,west,noun,holiday,みち,38
h059,南,みなみ,south,noun,holiday,みち,38
h060,北,きた,north,noun,holiday,みち,38
h061,いくつ目,いくつめ,which one in sequence; how many-th,expression,holiday,みち,38
h062,一つ目,ひとつめ,the first one,noun,holiday,みち,38
h063,二つ目,ふたつめ,the second one,noun,holiday,みち,38
h064,何メートル,なんめーとる,how many meters,expression,holiday,みち,38
h065,～メートル,～めーとる,[number] meters,counter,holiday,みち,38
h066,どこ,どこ,where,pronoun,holiday,どこ,39
h067,隣,となり,next to; next door,noun,holiday,どこ,39
h068,間,あいだ,between; interval; space,noun,holiday,どこ,39
h069,近く,ちかく,nearby; vicinity,noun,holiday,どこ,39
h070,上,うえ,above; on; up,noun,holiday,どこ,39
h071,下,した,below; under; down,noun,holiday,どこ,39
h072,前,まえ,in front; before,noun,holiday,どこ,39
h073,後ろ,うしろ,behind; back,noun,holiday,どこ,39
h074,中,なか,inside; middle,noun,holiday,どこ,39
h075,外,そと,outside,noun,holiday,どこ,39
h076,あそこ,あそこ,over there,pronoun,holiday,どこ,39
h077,ここ,ここ,here,pronoun,holiday,どこ,39
h078,そこ,そこ,there,pronoun,holiday,どこ,39
h079,どこ,どこ,where,pronoun,holiday,どこ,39
h080,出かける,でかける,to go out; to leave home,verb,holiday,出かける,40
h081,出る,でる,to leave; to go out; to exit,verb,holiday,出かける,40
h082,着く,つく,to arrive,verb,holiday,出かける,40
h083,会う,あう,to meet,verb,holiday,出かける,40
h084,待つ,まつ,to wait,verb,holiday,出かける,40
h085,デートする,でーとする,to go on a date,verb,holiday,出かける,40
h086,約束する,やくそくする,to promise; to make an appointment,verb,holiday,出かける,40
h087,用事,ようじ,errand; business; something to do,noun,holiday,出かける,40
h088,都合がいい,つごうがいい,convenient; suitable; available,expression,holiday,出かける,40
h089,都合が悪い,つごうがわるい,inconvenient; unavailable,expression,holiday,出かける,40
h090,だめです,だめです,no good; not allowed; impossible,expression,holiday,出かける,40
h091,帰る,かえる,to return; to go home,verb,holiday,出かける,40
h092,お出かけですか,おでかけですか,are you going out?,expression,holiday,出かける,40
h093,ちょっと～まで,ちょっと～まで,just to [somewhere]; only as far as [somewhere],expression,holiday,出かける,40
h094,よかったら,よかったら,if you like; if it's okay with you,expression,holiday,出かける,40
h095,すみません,すみません,excuse me; I'm sorry; thank you,expression,holiday,出かける,40
h096,～でも～ませんか,～でも～ませんか,would you like to [do something] or something?,expression,holiday,出かける,40
h097,～はちょっと…,～はちょっと…,I'm afraid [something] is a little difficult; [something] is not convenient,expression,holiday,出かける,40
h098,残念ですが,ざんねんですが,unfortunately; I'm sorry but,expression,holiday,出かける,40
h099,また今度お願いします,またこんどおねがいします,maybe next time; please ask me again another time,expression,holiday,出かける,40
h100,チャンス,ちゃんす,chance,noun,holiday,出かける,40
h101,行ってきます,いってきます,I'm leaving; see you when I get back,expression,holiday,出かける,40
h102,行ってらっしゃい,いってらっしゃい,see you; take care; have a good day,expression,holiday,出かける,40
h103,ただいま,ただいま,I'm home; I'm back,expression,holiday,出かける,40
h104,お帰りなさい,おかえりなさい,welcome home; welcome back,expression,holiday,出かける,40
l001,家,いえ,house; home,noun,living,住む,41
l002,部屋,へや,room,noun,living,住む,41
l003,窓,まど,window,noun,living,住む,41
l004,ドア,どあ,door,noun,living,住む,41
l005,開ける,あける,to open,verb,living,住む,41
l006,閉める,しめる,to close,verb,living,住む,41
l007,鍵,かぎ,key; lock,noun,living,住む,41
l008,ベッド,べっど,bed,noun,living,住む,41
l009,ダイニングキッチン,だいにんぐきっちん,dining kitchen; dining area with kitchen,noun,living,住む,41
l010,和室,わしつ,Japanese-style room,noun,living,住む,41
l011,トイレ,といれ,toilet; restroom,noun,living,住む,41
l012,お手洗い,おてあらい,restroom; toilet,noun,living,住む,41
l013,布団,ふとん,futon; Japanese bedding,noun,living,住む,41
l014,テーブル,てーぶる,table,noun,living,住む,41
l015,机,つくえ,desk; table,noun,living,住む,41
l016,椅子,いす,chair,noun,living,住む,41
l017,座る,すわる,to sit,verb,living,住む,41
l018,立つ,たつ,to stand,verb,living,住む,41
l019,洗濯する,せんたくする,to do laundry; to wash clothes,verb,living,住む,41
l020,掃除する,そうじする,to clean,verb,living,住む,41
l021,ごみ,ごみ,garbage; trash,noun,living,住む,41
l022,捨てる,すてる,to throw away; to discard,verb,living,住む,41
l023,置く,おく,to put; to place,verb,living,住む,41
l024,住む,すむ,to live; to reside,verb,living,住む,41
l025,住所,じゅうしょ,address,noun,living,住む,41
l026,冷蔵庫,れいぞうこ,refrigerator,noun,living,住む,41
l027,洗濯機,せんたくき,washing machine,noun,living,住む,41
l028,掃除機,そうじき,vacuum cleaner,noun,living,住む,41
l029,アパートの二階,あぱーとのにかい,second floor of an apartment,noun,living,アパートの二階,42
l030,建物,たてもの,building,noun,living,アパートの二階,42
l031,アパート,あぱーと,apartment,noun,living,アパートの二階,42
l032,寮,りょう,dormitory; student residence,noun,living,アパートの二階,42
l033,ビル,びる,building; office building,noun,living,アパートの二階,42
l034,階段,かいだん,stairs; staircase,noun,living,アパートの二階,42
l035,エスカレーター,えすかれーたー,escalator,noun,living,アパートの二階,42
l036,エレベーター,えれべーたー,elevator,noun,living,アパートの二階,42
l037,何階,なんかい,what floor,noun,living,アパートの二階,42
l038,何階,なんがい,what floor,noun,living,アパートの二階,42
l039,～階,～かい／～がい,floor; story,counter,living,アパートの二階,42
l040,九階,きゅうかい,ninth floor,counter,living,アパートの二階,42
l041,七階,ななかい,seventh floor,counter,living,アパートの二階,42
l042,五階,ごかい,fifth floor,counter,living,アパートの二階,42
l043,三階,さんがい,third floor,counter,living,アパートの二階,42
l044,一階,いっかい,first floor,counter,living,アパートの二階,42
l045,二階,にかい,second floor,counter,living,アパートの二階,42
l046,地下,ちか,underground; basement,noun,living,アパートの二階,42
l047,引っ越し,ひっこし,moving house; relocation,noun,living,ひっこし,43
l048,転勤する,てんきんする,to be transferred (for work),verb,living,ひっこし,43
l049,家賃,やちん,rent,noun,living,ひっこし,43
l050,所,ところ,place; location,noun,living,ひっこし,43
l051,田舎,いなか,countryside; rural area,noun,living,ひっこし,43
l052,静かな,しずかな,quiet,adjective,living,ひっこし,43
l053,賑やかな,にぎやかな,lively; bustling,adjective,living,ひっこし,43
l054,便利な,べんりな,convenient,adjective,living,ひっこし,43
l055,不便な,ふべんな,inconvenient,adjective,living,ひっこし,43
l056,交通,こうつう,transportation; traffic,noun,living,ひっこし,43
l057,庭,にわ,garden; yard,noun,living,ひっこし,43
l058,木,き,tree,noun,living,ひっこし,43
l059,緑,みどり,greenery; green,noun,living,ひっこし,43
l060,若い,わかい,young,adjective,living,ひっこし,43
l061,年を取る,としをとる,to grow old; to age,verb,living,ひっこし,43
l062,市役所,しやくしょ,city hall; municipal office,noun,living,ひっこし,43
l063,広い,ひろい,spacious; wide; large,adjective,living,ひっこし,43
l064,狭い,せまい,narrow; cramped,adjective,living,ひっこし,43
l065,新しい,あたらしい,new,adjective,living,ひっこし,43
l066,古い,ふるい,old,adjective,living,ひっこし,43
l067,先生の家,せんせいのいえ,teacher's house,noun,living,せんせいのいえ,44
l068,いらっしゃい,いらっしゃい,welcome; come in,expression,living,せんせいのいえ,44
l069,どうぞお上がりください,どうぞおあがりください,please come in,expression,living,せんせいのいえ,44
l070,失礼します,しつれいします,excuse me; I'm entering/leaving,expression,living,せんせいのいえ,44
l071,そろそろ失礼します,そろそろしつれいします,I'm afraid I should be going soon,expression,living,せんせいのいえ,44
l072,またいらっしゃってください,またいらっしゃってください,please come again,expression,living,せんせいのいえ,44
l073,夫,おっと,my husband,noun,living,せんせいのいえ,44
l074,妻,つま,my wife,noun,living,せんせいのいえ,44
l075,ご主人,ごしゅじん,someone else's husband,noun,living,せんせいのいえ,44
l076,奥さん,おくさん,someone else's wife; Mrs.,noun,living,せんせいのいえ,44
l077,紹介する,しょうかいする,to introduce,verb,living,せんせいのいえ,44
l078,こちらは～さんです,こちらは～さんです,this is Mr./Ms. ～,expression,living,せんせいのいえ,44
l079,これからお世話になります,これからおせわになります,I look forward to your help; I hope we'll get along,expression,living,せんせいのいえ,44
l080,いらっしゃいます,いらっしゃいます,is; exists (honorific),verb,living,せんせいのいえ,44
l081,独身,どくしん,single; unmarried,noun,living,せんせいのいえ,44
l082,結婚する,けっこんする,to get married,verb,living,せんせいのいえ,44
l083,僕,ぼく,I; me (typically masculine),pronoun,living,せんせいのいえ,44
l084,ありがとうございました,ありがとうございました,thank you very much,expression,living,せんせいのいえ,44
l085,いろいろと,いろいろと,in various ways; in many ways,adverb,living,せんせいのいえ,44
l086,お世話になりました,おせわになりました,thank you for all your help; thank you for taking care of me,expression,living,せんせいのいえ,44
l087,気をつけて,きをつけて,take care; be careful,expression,living,せんせいのいえ,44
l088,危ない,あぶない,dangerous; watch out,adjective,living,せんせいのいえ,44
l089,週末,しゅうまつ,weekend,noun,living,せんせいのいえ,44
l090,初め,はじめ,beginning; start,noun,living,せんせいのいえ,44
l091,終わり,おわり,end; finish,noun,living,せんせいのいえ,44
l092,一昨日,おととい,the day before yesterday,noun,living,せんせいのいえ,44
l093,明後日,あさって,the day after tomorrow,noun,living,せんせいのいえ,44
l094,先週,せんしゅう,last week,noun,living,せんせいのいえ,44
l095,今週,こんしゅう,this week,noun,living,せんせいのいえ,44
l096,来週,らいしゅう,next week,noun,living,せんせいのいえ,44
l097,先月,せんげつ,last month,noun,living,せんせいのいえ,44
l098,今月,こんげつ,this month,noun,living,せんせいのいえ,44
l099,来月,らいげつ,next month,noun,living,せんせいのいえ,44
l100,電気,でんき,electricity; light,noun,living,電気,45
l101,つける,つける,to turn on; to switch on,verb,living,電気,45
l102,消す,けす,to turn off; to erase,verb,living,電気,45
l103,明るい,あかるい,bright; light,adjective,living,電気,45
l104,暗い,くらい,dark,adjective,living,電気,45
l105,エアコン,えあこん,air conditioner,noun,living,電気,45
l106,ビデオ,びでお,video,noun,living,電気,45
l107,スイッチ,すいっち,switch,noun,living,電気,45
l108,回す,まわす,to turn; to rotate,verb,living,電気,45
l109,引く,ひく,to pull,verb,living,電気,45
l110,動く,うごく,to move; to work/function,verb,living,電気,45
l111,音,おと,sound; noise,noun,living,電気,45
l112,もし～たら,もし～たら,if; in case,expression,living,電気,45
l113,故障する,こしょうする,to break down; to malfunction,verb,living,電気,45
l114,修理する,しゅうりする,to repair,verb,living,電気,45
l115,呼ぶ,よぶ,to call; to invite,verb,living,電気,45
l116,直す,なおす,to fix; to repair; to correct,verb,living,電気,45
l117,製品,せいひん,product; manufactured goods,noun,living,電気,45
l001,健康,けんこう,health; healthy,noun,health,びょうき,46
l002,病気,びょうき,illness; sickness,noun,health,びょうき,46
l003,病院,びょういん,hospital,noun,health,びょうき,46
l004,どうしましたか,どうしましたか,what's wrong?; what happened?,phrase,health,びょうき,46
l005,熱,ねつ,fever,noun,health,びょうき,46
l006,風邪,かぜ,cold,noun,health,びょうき,46
l007,インフルエンザ,インフルエンザ,influenza; flu,noun,health,びょうき,46
l008,薬,くすり,medicine,noun,health,びょうき,46
l009,目,め,eye,noun,health,びょうき,46
l010,鼻,はな,nose,noun,health,びょうき,46
l011,耳,みみ,ear,noun,health,びょうき,46
l012,口,くち,mouth,noun,health,びょうき,46
l013,喉,のど,throat,noun,health,びょうき,46
l014,頭,あたま,head,noun,health,びょうき,46
l015,顔,かお,face,noun,health,びょうき,46
l016,手,て,hand,noun,health,びょうき,46
l017,お腹,おなか,stomach; belly,noun,health,びょうき,46
l018,足,あし,leg; foot,noun,health,びょうき,46
l019,お大事に,おだいじに,take care; get well soon,phrase,health,びょうき,46
l020,"2,3日","に, さんにち",health,expression,health,びょうき,46
l021,～が痛い,～がいたい,~ hurts,grammar,health,びょうき,46
l022,歯医者さん,はいしゃさん,dentist,noun,health,びょうき,46
l023,一人で,ひとりで,by oneself; alone,expression,health,びょうき,46
l024,健康保険証,けんこうほけんしょう,health insurance card,noun,health,びょうき,46
l025,お元気ですか,おげんきですか,how are you?,phrase,health,お元気ですか,47
l026,体,からだ,body,noun,health,お元気ですか,47
l027,体にいい,からだにいい,good for the health,expression,health,お元気ですか,47
l028,調子,ちょうし,condition; state,noun,health,お元気ですか,47
l029,疲れる,つかれる,to get tired,verb,health,お元気ですか,47
l030,眠い,ねむい,sleepy,i-adjective,health,お元気ですか,47
l031,早く,はやく,quickly; early,adverb,health,お元気ですか,47
l032,大変な,たいへんな,difficult; troublesome; serious,na-adjective,health,お元気ですか,47
l033,最近,さいきん,recently; lately,adverb,health,お元気ですか,47
l034,心配する,しんぱいする,to worry,verb,health,お元気ですか,47
l035,タバコを吸う,タバコをすう,to smoke,verb,health,お元気ですか,47
l036,禁煙,きんえん,no smoking; smoking cessation,noun,health,お元気ですか,47
l037,大丈夫な,だいじょうぶな,okay; all right,na-adjective,health,お元気ですか,47
l038,無理な,むりな,unreasonable; impossible; excessive,na-adjective,health,お元気ですか,47
l039,ダイエット,ダイエット,diet; dieting,noun,health,お元気ですか,47
l040,思い出す,おもいだす,to remember; recall,verb,health,お元気ですか,47
l041,寂しい,さびしい,lonely,i-adjective,health,お元気ですか,47
l042,お久しぶりですね,おひさしぶりですね,long time no see,phrase,health,お元気ですか,47
l043,ああ,ああ,ah; oh,interjection,health,お元気ですか,47
l044,おかげさまで,おかげさまで,thanks to you; thankfully,phrase,health,お元気ですか,47
l045,大切なもの,たいせつなもの,important thing; precious possession,noun,health,たいせつなもの,48
l046,こと,こと,thing; matter,noun,health,たいせつなもの,48
l047,パスポート,パスポート,passport,noun,health,たいせつなもの,48
l048,ビザ,ビザ,visa,noun,health,たいせつなもの,48
l049,大使館,たいしかん,embassy,noun,health,たいせつなもの,48
l050,大切な,たいせつな,important; precious,na-adjective,health,たいせつなもの,48
l051,なくす,なくす,to lose,verb,health,たいせつなもの,48
l052,貸す,かす,to lend,verb,health,たいせつなもの,48
l053,借りる,かりる,to borrow,verb,health,たいせつなもの,48
l054,返す,かえす,to return,gverb,health,たいせつなもの,48
l055,無駄な,むだな,wasteful; useless,na-adjective,health,たいせつなもの,48
l056,要る,いる,to need,verb,health,たいせつなもの,48
l057,ええ,ええ,yes; yeah,interjection,health,たいせつなもの,48
l058,本当,ほんとう,true; really,noun,health,たいせつなもの,48
l059,嘘,うそ,lie,noun,health,たいせつなもの,48
l060,お祈り,おいのり,prayer,noun,health,たいせつなもの,48
l061,触る,さわる,to touch,verb,health,たいせつなもの,48
l062,将来,しょうらい,future,noun,health,しょうらい,49
l063,夢,ゆめ,dream,noun,health,しょうらい,49
l064,留学する,りゅうがくする,to study abroad,verb,health,しょうらい,49
l065,研究する,けんきゅうする,to research; conduct research,verb,health,しょうらい,49
l066,研究者,けんきゅうしゃ,researcher,noun,health,しょうらい,49
l067,大学院,だいがくいん,graduate school,noun,health,しょうらい,49
l068,専門,せんもん,specialty; field of expertise,noun,health,しょうらい,49
l069,経済,けいざい,economy; economics,noun,health,しょうらい,49
l070,美術,びじゅつ,fine arts,noun,health,しょうらい,49
l071,地球,ちきゅう,Earth,noun,health,しょうらい,49
l072,～について,～について,about; concerning,grammar,health,しょうらい,49
l073,埋める,うめる,to fill; bury,verb,health,しょうらい,49
l074,考える,かんがえる,to think; consider,verb,health,しょうらい,49
l075,もう,もう,already; anymore,adverb,health,しょうらい,49
l076,これから,これから,from now on; from here,adverb,health,しょうらい,49
l077,そして,そして,and; and then,conjunction,health,これ も、 覚えよう！,50
l078,前,まえ,before; front,noun,health,これ も、 覚えよう！,50
l079,後,あと,after; later; back,noun,health,これ も、 覚えよう！,50
l080,もうすぐ,もうすぐ,soon,adverb,health,これ も、 覚えよう！,50
l081,すぐ,すぐ,immediately; soon,adverb,health,これ も、 覚えよう！,50
l082,後で,あとで,later,adverb,health,これ も、 覚えよう！,50
l083,また,また,again; also,adverb,health,これ も、 覚えよう！,50
l084,までに,までに,by; before,particle,health,これ も、 覚えよう！,50
l085,ですから,ですから,therefore; so,conjunction,health,これ も、 覚えよう！,50
l086,そんなに,そんなに,that much; so much,adverb,health,これ も、 覚えよう！,50
l087,だんだん,だんだん,gradually,adverb,health,これ も、 覚えよう！,50
l088,皆さん,みなさん,everyone,eexpression,health,これ も、 覚えよう！,50
l089,ロボット,ロボット,robot,noun,health,これ も、 覚えよう！,50
l090,へえ,へえ,really?; oh!,interjection,health,これ も、 覚えよう！,50
l091,すごい,すごい,amazing; incredible,i-adjective,health,これ も、 覚えよう！,50
l092,特に,とくに,particularly; especially,adverb,health,これ も、 覚えよう！,50
l093,なかなか,なかなか,quite; rather; not easily,adverb,health,これ も、 覚えよう！,50
l094,～が,～が,but; however,particle,health,これ も、 覚えよう！,50
l095,～けど,～けど,but; although,conjunction,health,これ も、 覚えよう！,50
l096,そうですね,そうですね,that's right; let's see,phrase,health,これ も、 覚えよう！,50
l097,失礼ですが,しつれいですが,excuse me; if I may ask,phrase,health,これ も、 覚えよう！,50
l098,聞く,きく,to ask; listen; hear,verb,health,これ も、 覚えよう！,50
l099,あのう,あのう,um; excuse me,interjection,health,これ も、 覚えよう！,50
l100,ええと,ええと,um; let's see,interjection,health,これ も、 覚えよう！,50
l101,でも,でも,but; however,conjunction,health,これ も、 覚えよう！,50
l102,どうして,どうして,why,adverb,health,これ も、 覚えよう！,50
l103,～から,～から,because; from,particle,health,これ も、 覚えよう！,50
l104,そうですか,そうですか,is that so?; I see,phrase,health,これ も、 覚えよう！,50
l105,分かりました,わかりました,understood; I understand,phrase,health,これ も、 覚えよう！,50
v107,出身,しゅっしん,hometown/origin,noun,self_introduction,null,99
v127,連絡,れんらく,contact,noun/verb,friend,null,99
v128,親友,しんゆう,best friend,noun,friend,null,99
v129,知り合い,しりあい,acquaintance,noun,friend,null,99
v142,米,こめ,rice,noun,todays_meal,null,99
v151,踊る,おどる,to dance,verb,hobby,null,99
v153,買い物,かいもの,shopping,noun,shopping,null,99
v155,値段,ねだん,price,noun,shopping,null,99
v161,店員,てんいん,store clerk,noun,shopping,null,99
v167,温泉,おんせん,hot spring,noun,holiday,null,99
v176,台所,だいどころ,kitchen,noun,living,null,99
v180,近所,きんじょ,neighborhood,noun,living,null,99
v115,給料,きゅうりょう,salary,noun,work,null,99
v118,上司,じょうし,boss,noun,work,null,99
v119,同僚,どうりょう,colleague,noun,work,null,99
